URS00000BA5EB_666


984	865	846	815	813	657	124	122	117	98	39	33	31
986	847	826	812	808	649	149	144	136	100	61	44	30
986	842	822	802	798	632	158	131	129	118	59	46	30
987	862	837	836	836	682	132	127	127	97	54	45	24
981	840	840	832	829	650	135	133	125	95	50	43	30
984	858	843	838	835	670	133	127	115	86	52	49	24
987	843	826	805	803	649	153	146	130	109	48	44	31
989	850	848	847	846	662	143	128	119	90	66	53	22
986	856	829	825	816	651	151	137	126	97	54	39	27
990	840	832	819	815	662	137	135	134	102	47	47	28
990	854	839	817	812	624	143	136	130	114	46	46	28
991	861	832	832	813	673	149	140	118	92	44	38	31
988	848	845	824	823	654	140	133	128	99	51	48	29
989	850	806	798	792	637	165	153	126	111	52	43	35
991	872	845	838	833	685	129	123	111	94	45	39	25
988	857	846	840	832	682	134	133	121	81	50	47	33
987	848	841	815	811	675	140	135	129	111	48	41	32
986	830	827	825	819	626	154	139	137	104	67	46	26
985	861	825	822	820	665	153	148	125	99	48	40	31
988	851	846	826	824	643	132	127	126	90	58	51	28
994	857	840	816	813	641	144	137	130	106	49	42	27
988	843	829	809	806	613	138	136	134	103	52	51	32
992	861	845	845	845	642	137	122	119	87	54	49	25
988	853	846	828	822	655	127	124	118	79	52	39	25
989	852	850	820	819	636	137	125	119	107	53	51	30
990	853	845	842	837	660	136	129	126	99	55	48	36
989	853	836	835	834	652	138	132	123	90	50	36	22
991	850	833	827	825	627	151	129	115	85	55	45	27
987	844	842	795	794	649	142	141	132	112	49	44	34
982	864	843	823	817	646	126	117	115	90	51	38	26
987	852	840	829	827	646	136	134	126	96	59	52	29
989	835	832	831	824	655	152	144	137	85	67	45	27
986	869	847	838	836	671	128	119	115	84	45	34	24
981	835	834	788	781	640	145	143	133	116	60	53	39
990	841	837	835	819	652	151	135	128	94	52	51	34
984	867	829	825	824	676	142	139	112	92	44	40	33
991	865	855	839	835	643	122	121	120	89	51	35	23
990	842	822	814	808	648	146	141	141	103	55	51	30
987	857	842	824	822	655	140	120	112	102	58	52	32
985	831	825	801	797	635	151	145	140	107	53	51	31
985	857	854	837	837	656	127	119	116	88	46	45	34
992	864	836	829	823	640	146	107	101	94	58	48	25
992	851	834	819	812	633	142	137	125	113	44	38	27
992	853	834	830	828	667	143	134	131	99	58	46	33
988	861	841	832	832	641	139	125	120	90	55	51	26
987	866	839	824	820	653	131	130	111	97	50	32	27
984	879	850	841	832	704	122	116	104	82	44	36	28
986	839	831	825	825	633	147	133	127	91	53	51	30
987	849	847	823	819	654	131	130	125	97	59	56	28
981	845	819	808	804	658	151	144	133	105	48	40	28
990	852	846	828	826	647	128	125	112	96	54	52	24
993	844	823	822	822	657	151	143	134	97	52	47	27
985	843	833	812	807	634	151	143	141	95	59	38	28
985	831	827	823	822	642	148	137	135	93	55	45	33
986	855	849	817	810	650	129	119	115	100	43	37	24
989	851	829	816	813	665	142	135	128	87	48	37	31
990	842	827	822	816	638	150	145	139	98	54	48	30
986	839	836	831	822	651	145	136	128	87	57	55	31
987	857	849	832	831	634	127	124	120	84	50	38	22
985	854	832	820	816	641	148	145	129	99	46	45	29
983	859	847	826	822	661	126	125	121	103	56	52	22
992	850	846	845	837	645	132	130	125	81	55	42	26
990	844	837	830	829	650	139	137	135	103	55	44	37
982	843	826	810	803	639	148	139	137	102	52	51	31
990	859	847	833	832	646	128	122	120	94	45	43	25
985	842	827	817	814	645	144	144	140	98	48	39	27
986	859	850	827	826	669	130	125	117	92	53	48	22
985	846	824	820	818	645	150	143	139	106	53	46	30
990	859	844	835	830	673	132	127	121	89	44	37	25
993	854	838	837	837	650	143	134	123	90	54	46	27
989	863	851	850	846	637	123	121	116	79	52	39	30
989	837	828	812	808	641	144	138	138	98	50	44	29
990	844	838	822	819	655	135	132	126	107	48	45	31
986	846	834	811	811	642	140	137	134	109	55	44	31
990	866	852	840	838	671	127	113	107	83	53	35	23
987	869	838	835	829	662	141	138	119	90	42	32	32
981	850	840	826	823	646	136	132	127	85	57	50	25
993	861	859	857	852	634	125	124	119	75	55	52	28
984	840	838	836	834	655	141	137	130	77	54	53	34
992	851	829	826	824	642	143	133	128	90	48	44	28
990	866	833	832	820	670	153	148	115	100	43	33	24
983	849	840	823	818	653	130	129	123	106	48	43	31
985	845	844	831	829	638	139	131	126	101	58	55	27
991	844	824	822	816	630	154	147	136	97	46	36	36
989	853	831	826	824	671	147	136	132	85	54	47	30
988	840	839	829	823	607	144	134	124	103	56	50	28
981	838	828	818	816	636	142	137	137	107	60	49	26
987	854	844	814	810	640	132	132	129	99	46	42	30
994	834	822	821	821	636	150	145	136	107	50	44	30
987	867	849	817	813	679	130	124	121	111	53	45	28
991	846	840	808	804	640	138	133	127	105	55	44	31
985	837	833	828	824	644	145	140	134	97	51	44	36
990	826	821	807	804	638	152	149	138	117	61	53	35
990	840	836	814	814	641	139	134	129	101	50	48	35
984	839	837	808	804	643	148	131	130	111	56	50	36
989	848	846	824	818	637	130	126	125	96	58	41	36
982	853	816	812	810	665	144	144	127	101	54	46	29
982	827	817	807	803	630	152	150	146	104	61	45	32
991	855	819	818	816	671	151	139	127	104	51	48	30
986	845	834	832	825	632	143	137	134	100	59	47	22
7.290000	0.851998
URS000057C677_666


995	984	973	971	971	970	549	64	30	26	25	23	17
994	981	971	959	957	952	552	80	35	34	29	27	26
992	977	963	957	952	947	552	73	38	36	36	33	31
992	985	966	964	962	957	536	76	44	34	33	29	28
994	983	961	958	957	956	535	81	44	37	36	35	33
997	985	977	963	960	960	537	83	38	33	23	22	21
992	984	973	961	957	955	508	66	37	29	27	22	21
998	989	973	968	967	964	560	74	32	28	27	27	24
997	983	969	967	964	961	529	72	33	31	31	30	27
991	978	978	960	952	948	533	65	43	39	23	23	21
996	978	970	968	961	959	550	78	34	30	29	25	23
994	984	968	964	963	956	543	61	43	36	36	31	29
996	985	968	956	954	951	528	82	33	32	31	27	24
998	983	967	965	964	961	526	72	35	34	33	32	28
994	985	969	956	956	948	533	79	38	32	31	29	29
993	976	968	968	966	965	527	85	35	31	30	29	28
995	983	966	965	958	957	528	78	43	41	39	30	30
993	979	979	968	966	966	541	69	34	30	29	28	20
995	986	963	958	955	951	527	84	39	38	35	31	31
996	979	966	965	963	962	530	86	35	32	30	29	29
996	982	966	956	953	951	530	63	41	39	33	30	29
995	985	960	955	949	946	522	70	47	40	39	35	34
995	986	978	961	957	950	556	72	33	31	28	22	19
992	990	966	964	958	958	541	67	38	34	34	33	32
996	986	968	965	960	958	521	63	34	33	31	29	29
992	983	974	959	955	951	545	66	37	35	27	23	23
997	989	976	963	963	955	540	62	28	27	24	23	21
994	986	960	959	955	953	549	60	40	39	36	33	31
997	978	970	962	959	953	555	71	37	30	30	26	26
991	976	970	969	958	956	546	78	32	30	26	26	24
995	984	974	962	957	953	540	59	35	32	25	21	19
